iter	Passed	Remaining
566	619	473
567	621	472
568	623	472
569	625	472
570	627	471
571	629	470
572	630	469
573	631	468
574	632	467
575	636	468
576	638	468
577	640	467
578	641	466
579	643	465
580	645	465
581	646	464
582	648	463
583	650	463
584	651	462
585	653	461
586	654	460
587	656	459
588	657	458
589	658	457
590	661	457
591	662	456
592	663	455
593	665	454
594	666	453
595	667	452
596	668	451
597	669	450
598	671	449
599	673	448
600	674	448
601	676	447
602	679	447
603	680	446
604	684	447
605	686	446
606	687	445
607	689	444
608	690	443
609	692	442
610	696	443
611	698	442
612	700	441
613	702	441
614	704	441
615	707	441
616	710	440
617	711	440
618	714	439
619	715	438
620	716	437
621	718	436
622	720	435
623	721	434
624	722	433
625	723	432
626	728	433
627	730	432
628	732	432
629	733	431
630	735	429
631	736	428
632	738	428
633	739	426
634	740	425
635	740	424
636	741	422
637	742	421
638	743	420
639	744	419
640	746	417
641	748	417
642	750	416
643	751	415
644	752	414
645	753	412
646	754	411
647	755	410
648	757	409
649	758	408
650	759	407
651	761	406
652	762	405
653	764	404
654	765	403
655	767	402
656	769	401
657	770	400
658	772	399
659	775	399
660	776	398
661	777	397
662	779	396
663	782	395
664	783	394
665	784	393
666	785	391
667	786	390
668	787	389
669	787	388
670	788	386
671	789	385
672	790	384
673	791	382
674	792	381
675	793	380
676	793	378
677	794	377
678	795	376
679	796	374
680	797	373
681	798	372
682	799	370
683	799	369
684	800	368
685	801	366
686	802	365
687	803	364
688	804	363
689	805	361
690	806	360
691	806	359
692	807	357
693	808	356
694	809	355
695	810	354
696	811	352
697	812	351
698	813	350
699	814	348
700	815	347
701	816	346
702	817	345
703	818	343
704	818	342
705	819	341
706	820	340
707	821	338
708	822	337
709	822	336
710	823	334
711	824	333
712	825	332
713	826	331
714	827	329
715	828	328
716	829	327
717	829	325
718	830	324
719	831	323
720	832	322
721	833	320
722	833	319
723	834	318
724	835	316
725	836	315
726	837	314
727	838	313
728	839	312
729	840	310
730	841	309
731	842	308
732	842	307
733	843	305
734	844	304
735	845	303
736	846	301
737	847	300
738	848	299
739	848	298
740	849	296
741	850	295
742	851	294
743	852	293
744	853	292
745	854	290
746	854	289
747	855	288
748	856	287
749	857	285
750	858	284
751	859	283
752	860	282
753	860	280
754	861	279
755	862	278
756	863	277
757	864	275
758	865	274
759	866	273
760	867	272
761	868	271
762	869	269
763	870	268
764	870	267
765	872	266
766	873	265
767	874	264
768	874	262
769	875	261
770	876	260
771	877	259
772	878	257
773	879	256
774	880	255
775	881	254
776	881	253
777	882	251
778	883	250
779	884	249
780	885	248
781	886	247
782	887	245
783	888	244
784	889	243
785	890	242
786	891	241
787	892	240
788	892	238
789	893	237
790	894	236
791	895	235
792	896	234
793	898	232
794	899	231
795	900	230
796	901	229
797	902	228
798	904	227
799	905	226
800	907	225
801	908	224
802	909	223
803	910	222
804	912	220
805	913	219
806	914	218
807	916	217
808	917	216
809	918	215
810	918	214
811	919	212
812	920	211
813	921	210
814	922	209
815	923	208
816	924	207
817	925	205
818	925	204
819	926	203
820	927	202
821	928	201
822	930	200
823	931	198
824	932	197
825	933	196
826	934	195
827	935	194
828	936	193
829	937	191
830	938	190
831	938	189
832	939	188
833	940	187
834	941	186
835	942	184
836	943	183
837	944	182
838	945	181
839	945	180
840	947	179
841	947	177
842	948	176
843	949	175
844	950	174
845	951	173
846	952	172
847	954	171
848	954	169
849	955	168
850	956	167
851	957	166
852	958	165
853	960	164
854	960	162
855	961	161
856	962	160
857	963	159
858	964	158
859	965	157
860	966	156
861	967	154
862	968	153
863	969	152
864	970	151
865	971	150
866	972	149
867	973	148
868	974	146
869	975	145
870	975	144
871	977	143
872	978	142
873	979	141
874	980	140
875	981	138
876	982	137
877	983	136
878	984	135
879	985	134
880	987	133
881	989	132
882	990	131
883	991	130
884	993	129
885	994	127
886	995	126
887	997	125
888	998	124
889	999	123
890	1000	122
891	1002	121
892	1004	120
893	1005	119
894	1006	118
895	1008	117
896	1010	116
897	1011	114
898	1012	113
899	1013	112
900	1016	111
901	1017	110
902	1018	109
903	1019	108
904	1020	107
905	1021	106
906	1022	104
907	1023	103
908	1024	102
909	1026	101
910	1029	100
911	1031	99
912	1033	98
913	1034	97
914	1036	96
915	1037	95
916	1039	94
917	1042	93
918	1044	92
919	1045	90
920	1047	89
921	1049	88
922	1051	87
923	1052	86
924	1056	85
925	1057	84
926	1059	83
927	1061	82
928	1063	81
929	1064	80
930	1065	78
931	1067	77
932	1068	76
933	1069	75
934	1070	74
935	1071	73
936	1073	72
937	1074	71
938	1075	69
939	1076	68
940	1077	67
941	1078	66
942	1080	65
943	1081	64
944	1082	63
945	1083	61
946	1085	60
947	1086	59
948	1088	58
949	1090	57
950	1091	56
951	1092	55
952	1093	53
953	1095	52
954	1097	51
955	1098	50
956	1099	49
957	1100	48
958	1102	47
959	1103	45
960	1104	44
961	1105	43
962	1108	42
963	1110	41
964	1112	40
965	1113	39
966	1114	38
967	1117	36
968	1119	35
969	1120	34
970	1121	33
971	1122	32
972	1123	31
973	1125	30
974	1127	28
975	1128	27
976	1130	26
977	1131	25
978	1133	24
979	1136	23
980	1138	22
981	1140	20
982	1141	19
983	1142	18
984	1144	17
985	1145	16
986	1147	15
987	1149	13
988	1150	12
989	1151	11
990	1153	10
991	1154	9
992	1157	8
993	1158	6
994	1159	5
995	1160	4
996	1162	3
997	1163	2
998	1165	1
999	1166	0
